    5    32    10
    6    28    15
    6    30    11
    6    32    10
    6    33    18
    6    34    13
    7    33    17
    7    34    10
    7    41    10
    8    33    12
    8    36    12
    9    10    16
    9    11    14
    9    26    12
   10    16    10
   10    37    13
   10    42    11
   11    14    10
   11    16    14
   11    17    10
   11    37    11
   12    20    12
   13    19    10
   13    37    17
   13    43    18
   14    14    13
   14    15    15
   14    33    10
   16    16    11
   16    41    11
   18    28    12
   19    27    10
   20    34    11
   21    26    13
   21    34    17
   21    38    12
   22    13    15
   23    27    10
   25     4    10
   25     5    19
   25    29    10
   26     5    17
   26    10    11
   26    11    10
   26    35    10
   27    18    14
   28     5    12
   28     6    12
   28    25    10
   29     5    18
   29     6    13
   29    39    12
   30    39    21
   30    40    10
   31    39    10
