uname,puck,pin,name,anomalous
lx*,KLaT001,1,SPNE,no
lx*,KLaT001,2,SPNE,no
lx*,KLaT001,3,SPNE,no
lx*,KLaT001,4,SPNE,no
lx*,KLaT001,5,SPNE,no
lx*,KLaT001,6,SPNE,no
lx*,KLaT001,7,SPNE,no
lx*,KLaT001,8,SPNE,no
lx*,KLaT001,9,SPNE,no
lx*,KLaT001,10,SPNE,no
lx*,KLaT001,11,SPNE,no
lx*,KLaT001,12,SPNE,no
lx*,KLaT001,13,SPNE,no
lx*,KLaT001,14,SPNE,no
lx*,KLaT001,15,SPNE,no
lx*,KLaT001,16,SPNE,no
