wave =   1.20000   15.0(v) x   2.0(h)  1.21e+12 phs/sec Dose[10MGy]/sec=  0.40 sec
wave =   1.20000    3.0(v) x   3.0(h)  4.65e+11 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.20000    4.0(v) x   4.0(h)  8.43e+11 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.20000    5.0(v) x   5.0(h)  1.32e+12 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.20000   10.0(v) x   5.0(h)  2.59e+12 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.20000   15.0(v) x   5.0(h)  3.55e+12 phs/sec Dose[10MGy]/sec=  0.34 sec
wave =   1.20000   10.0(v) x  10.0(h)  4.76e+12 phs/sec Dose[10MGy]/sec=  0.33 sec
wave =   1.20000   15.0(v) x  10.0(h)  6.55e+12 phs/sec Dose[10MGy]/sec=  0.36 sec
wave =   1.20000    0.8(v) x   1.5(h)  6.39e+10 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.20000    4.3(v) x   3.4(h)  6.70e+11 phs/sec Dose[10MGy]/sec=  0.35 sec
wave =   1.20000   16.3(v) x  10.9(h)  9.34e+12 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.10000    1.0(v) x   1.5(h)  8.39e+10 phs/sec Dose[10MGy]/sec=  0.34 sec
wave =   1.10000    1.5(v) x   1.5(h)  1.22e+11 phs/sec Dose[10MGy]/sec=  0.36 sec
wave =   1.10000    2.0(v) x   1.5(h)  1.57e+11 phs/sec Dose[10MGy]/sec=  0.36 sec
wave =   1.10000    5.0(v) x   1.5(h)  3.72e+11 phs/sec Dose[10MGy]/sec=  0.39 sec
wave =   1.10000   10.0(v) x   1.5(h)  7.36e+11 phs/sec Dose[10MGy]/sec=  0.39 sec
wave =   1.10000   15.0(v) x   1.5(h)  1.02e+12 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   1.10000    2.0(v) x   2.0(h)  2.39e+11 phs/sec Dose[10MGy]/sec=  0.32 sec
wave =   1.10000    5.0(v) x   2.0(h)  5.67e+11 phs/sec Dose[10MGy]/sec=  0.33 sec
wave =   1.10000   10.0(v) x   2.0(h)  1.12e+12 phs/sec Dose[10MGy]/sec=  0.35 sec
